item_number,desc1,desc1_source,desc2,desc2_source,human_label
1,"Impact-branded photo backdrop kit including a gray mottled muslin backdrop with brass grommets, a solid black fabric backdrop, and a collapsible support stand system. Comes with a padded carrying case for easy transport and storage. Ideal for photography setups.",baseline,"Professional photography equipment set featuring multiple black and silver tripods with adjustable legs, secure straps, and yellow accents, neatly stored in a black padded bag. Ideal for photographers seeking reliable, portable gear.",model,Both descriptions are acceptable
2,"Interfit Stellar X flash lighting unit with adjustable power settings, test and sync functions, and built-in modeling light. Mounted on a height-adjustable tripod stand with a handle for angling. Ideal for studio photography and portrait setups.",baseline,"Electronic device with ""INTERFIT"" branding, mounted on a black microphone stand with a tripod. Features include 1/8 and 1/4 charge inputs, full sensor test sync capabilities. Includes electrical cable.",model,baseline
3,"Interfit Stellar X 300 studio strobe light with adjustable power settings, built-in modeling lamp, and a silver reflector dish. Mounted on a sturdy tripod stand with locking height adjustments, ideal for professional lighting setups in photography studios.",baseline,"Professional-grade grey overhead projector with ""INTERFIT Stellar"" branding, mounted on a black tripod. Includes multiple connection ports and a sensor test model feature. Ideal for studio or professional use.",model,baseline
4,"Interfit Stellar X 300 studio flash unit equipped with adjustable output dial, test trigger, and modeling light control. Mounted on a telescoping tripod stand with locking knobs and power cable. Includes reflector dish for directional lighting in studio environments.",baseline,"Electronic device, INTERFIT Stellar 300, small appliance, mounted on a tripod, ready for sound and full sensor test, 1/4 charge, CE certified, black and gray, ideal for cameras & optics.",model,baseline
5,"Interfit COR 751 lighting kit with a wheeled carrying case, softbox, white shoot-through umbrella, and barndoor reflector with silver interior. Includes a heavy-duty light stand for stable support during photo or video shoots. Great for studio lighting control.",baseline,"Round black hat with ""INTERFIT"" printed in white on the front. Made from a smooth, durable fabric. Ideal for outdoor or athletic use. Condition: Good. Perfect for adding style and functionality to your wardrobe.",model,baseline
6,Pair of Impact floodlight fixtures mounted on adjustable tripod stands with aluminum reflectors and blue bulbs. Each unit features a wooden handle and swivel bracket for directional lighting. Designed for studio or location photography setups.,baseline,"Professional studio lighting kit featuring two silver, blue-nosed reflectors on black stands. Ideal for photography and videography. Sturdy and adjustable, perfect for controlling light and enhancing studio setups.",model,Both descriptions are acceptable
7,"Assorted hand tool collection including Sears adjustable wrenches, a red-handled locking plier, flathead screwdriver, and combination wrench sets in both metric and SAE sizes. Includes Mechanics 32-piece stubby wrench set and smaller CR-V wrenches in storage racks.",baseline,"Forged metalworking hand tools set, including adjustable spanner, ratchet, and various wrenches. Includes 20-piece extended length and 12-piece stubby sets. Titanium and chrome vanadium steel construction. Includes blue storage pouch. Perfect for mechanics and DIY projects.",model,baseline
8,"Vintage set of metalworking tools and household hardware in a cardboard box. Includes a stonemason's hammer, assorted hand tools, and metal pieces. Condition: Used. Key features: sturdy tools, metal components, classic craftsmanship.",model,"Box of assorted hand tools including multiple C-clamps, ball peen and claw hammers, a pipe cutter, and various woodworking tools. A practical collection for metalworking, woodworking, or general repair tasks.",baseline,baseline
9,"Clear plastic storage box containing a 4-1/2"" angle grinder with a metal and stainless steel body, labeled ""DEMON DIABLO 10x,"" and various accessories, including a cup wheel brush. Ideal for power tool enthusiasts.",model,"Clear storage bin filled with grinding and cutting accessories including flap discs, segmented blades, and wire wheels. Includes brands like Diablo and Craftsman, along with an electric angle grinder. Ideal for metalwork, fabrication, and general shop use.",baseline,Both descriptions are acceptable
10,"Heavy-duty Armstrong slide hammer puller set, model 93-894, made in the USA. Comes in original branded packaging and includes a forged puller head and T-handle shaft. Known for lifetime durability, ideal for removing bearings, gears, and bushings.",baseline,"Vintage metal tool with a wrapped, blue and white protective cover, securely attached to a dark brown, slightly wrinkled fabric background. Includes visible screws and metal components, perfect for collectors or restoration projects.",model,baseline
11,Pittsburgh Automotive Bearing Race and Seal Driver Set with ten anodized aluminum discs in assorted sizes for precise installation of wheel bearings and seals. Comes in a red blow-molded case. Distributed by Harbor Freight Tools. Made in China.,baseline,"Boxed Pittsburgh Bearing Race and Seal Driver Set, featuring orange plastic construction with multiple colored buttons. Includes sizes 1.555 in, 2.322 in, 2.834 in, and more. Anodized finish and blow-mold case. Ideal for automotive use. Item 95853.",model,Both descriptions are acceptable
12,"Set of Snap-on deep impact sockets stored in a red metal rail. Each socket is forged from durable steel and designed for high-torque applications. Includes a range of sizes to accommodate various fasteners, showing visible signs of use.",baseline,"Set of plastic office instruments with cylindrical shapes, arranged in a red holder. Includes multiple identical components, ideal for office or industrial use. Made of durable plastic, easy to handle. Perfect for organization and efficiency.",model,baseline
13,"Set of Craftsman hand tools including two complete metric socket sets in holders, various ratchets, extensions, and breaker bars. All pieces are chrome-finished with clearly stamped markings. Includes USA-made VV 43385 socket and forged steel handles with lifetime warranty engraving.",baseline,"Vintage CRAFTSMAN metalworking hand tools, including a ratchet and wrench, with a mix of titanium, steel, and nickel finishes. Tools are in excellent condition, showcasing a classic, industrial design.",model,Both descriptions are acceptable
14,"Set of metallic, hexagonal nuts attached to a red strip, positioned on a crumpled gray fabric. Ideal for crafting or DIY projects. Includes durable, high-quality materials. Perfect for customization or repair purposes.",model,"Set of nine Proto Professional chrome sockets, including model 5427MH, precision-made in the USA. Each socket is mounted on a red rail for easy storage and organization. Designed for heavy-duty professional use with a polished chrome finish.",baseline,baseline
15,"Set of precision torque wrenches, featuring red and black handles, adjustable calibration, and accurate readings. Includes documentation and certification. Ideal for industrial or laboratory use. High-quality, reliable tools for precise torque measurements. Model number: 501MRMH.",model,"Set of two torque wrenches from KD Tools and CDI Torque Products, each stored in its own molded case. The CDI wrench is a 501MRMH model made in the USA, with calibration paperwork included for precision torque applications.",baseline,Both descriptions are acceptable
16,"Collection of measuring and leveling tools including a vintage wooden American level marked 806.17 28 with brass edges, a large black plastic level, a blue Mayes framing square, and two aluminum straight edges by Lufkin and Empire.",baseline,"Vintage measuring tools set, featuring a gold and hardwood ruler, and three plastic rulers in blue, white, and black. Includes Mayes Brothers Tool Mfg. Company markings, perfect for collectors or crafters.",model,Both descriptions are acceptable
17,"Pair of heavy-duty Haul-Master steel loading ramps with a 1,000 lb combined capacity. Each ramp features a slotted, anti-slip design and reinforced mounting brackets. Ideal for loading lawn equipment, ATVs, or other small vehicles into trucks or trailers.",baseline,"Two silver steel loading ramps with 14 slots each, ideal for heavy-duty use. Includes safety chain guidance for secure loading. Maximum capacity: 1,000 lbs. Perfect for industrial or commercial applications. Item 696. High-quality, durable construction.",model,Both descriptions are acceptable
18,"High-quality, assembled machine with silver metal components, blue accents, and a central orange rod. Includes a Biswaye Li-ion rechargeable battery pack. Ideal for DIY projects or machine enthusiasts. Excellent condition, ready for use.",model,"Collection of Dyson V8 cordless vacuum parts and attachments, including multiple brush heads, wands, and wall mounts. Comes with a 21.6V 3500mAh Biswaye replacement lithium-ion battery pack rated at 75.6Wh. Ideal for repairs or extra components.",baseline,baseline
19,"Sculptural metal table lamp with welded abstract design, mounted on a black rectangular base. Comes with an off-white fabric drum shade. The cord is damaged at the plug and will require repair before safe use.",baseline,"Vintage wall-mounted lamp with a beige, textured lampshade and brass fixture. Features a black metal arm and white socket. Ideal for adding a classic touch to any space.",model,baseline
20,"Antique brass and bronze floor lamp with a cylindrical, cream-colored lampshade. Features a wooden finial and a brass stem. Excellent vintage design for a classic, elegant look. Still life photography.",model,Tall mid-century lamp with stacked wood segments and a two-bulb brass fixture. Accented with a sculpted finial and pull chains. Includes a large drum shade. Brass base shows age-related wear. Plug is broken and needs repair.,baseline,baseline
21,"Mid-century ceramic table lamp by Jacques Pouchain for Atelier Dieulefit Vallauris, France. Features a sculptural base with dual abstract faces in earthy brown tones and textured glaze. Includes original woven rattan-style drum shade.",baseline,Antique wicker cylinder lampshade paired with a vintage brass still life decoration. Features a detailed brass circular element and a small brass bell. Ideal for adding a touch of classic elegance to any space.,model,baseline
22,"Oil painting still life featuring a green wine bottle, amber decanter, and ornate blue stein alongside three apples and a yellow box. Richly textured brushstrokes and warm lighting create a classic composition with soft, muted shadows.",baseline,"Modern still life painting featuring a yellow bottle, blue jug, green bottle, and two brown onions. The artwork is framed with a gold border and showcases a vibrant, textured style. Ideal for collectors of contemporary art.",model,Both descriptions are acceptable
23,"Abstract astronomical painting by Airata Bouchere, featuring a central glowing orb surrounded by a vibrant, textured spiral galaxy with hints of orange, yellow, and green. Signed ""Airata Bouchere"" in the top right corner.",model,"Original painting by Ronald Bouché depicting a celestial eclipse with dynamic, swirling brushstrokes and vibrant specks of color. The black void contrasts with radiant light and cosmic hues, creating a dramatic, textured composition on a dark canvas.",baseline,baseline
24,"Beautiful framed painting of a colorful sailboat with multiple sails on calm blue waters. Golden frame accentuates the vibrant colors. Ideal for maritime or nautical-themed decor. Signed ""DANY/03"".",model,"Colorful seascape painting signed “Dany ’03” featuring a row of traditional sailboats with multicolored sails gliding across calm water. Seagulls fly overhead, and reflections ripple on the ocean’s surface. Presented in a simple light wood frame.",baseline,Both descriptions are acceptable
25,"Vibrant painting by M.VinLouis, featuring an energetic market scene with stylized figures in white garments and colorful head coverings. Surrounding them are vivid fruits, vegetables, and woven baskets. The dynamic composition and bold hues create a rhythmic, celebratory atmosphere.",baseline,"Vibrant abstract painting featuring a chaotic array of colorful, overlapping shapes in white, yellow, green, red, and blue. Modern art style, perfect for contemporary collectors. Framed and ready to display.",model,baseline
26,"Colorful oil painting of a cobblestone street lined with textured buildings and red awnings, leading to an atmospheric cityscape in the distance. Thick brushstrokes give depth and energy, while rich colors create a lively European village ambiance. Signed “Liø.”",baseline,"Vibrant watercolor painting depicting a snowy urban street scene with colorful buildings, dynamic brushstrokes, and a mix of red, yellow, and green hues. Signed ""Lig"" at the bottom. Modern, expressive art style.",model,baseline
27,"Colorful market scene painting signed by M. V. Louis. Features stylized figures in flowing white garments surrounded by vibrant produce baskets and tropical fruits. Bright, rhythmic composition with bold outlines and saturated tones, creating a sense of bustling communal energy.",baseline,"A framed modern art piece depicting multiple individuals in dark clothing, set against a detailed background. Signed ""Charles Bra 77"" and dated ""1974"". Presented in a black frame with a beige mat.",model,model
28,Two framed artworks: a black-and-white print with abstract elements and a colorful portrait featuring multiple figures in a dynamic composition. Both pieces are displayed on a gray fabric backdrop.,model,"Framed satirical courtroom prints, including ""The Hung Jury"" and a French illustration captioned “Les gens de justice.” One features caricatured judges and jurors by Charles Bragg, the other a dramatic legal scene, possibly a vintage lithograph with handwritten text.",baseline,baseline
29,"Round glass-top coffee table with a sculptural wood base in a natural finish. The intersecting curved supports create a dynamic mid-century modern aesthetic, blending organic form with minimalist design. Clear glass enhances visibility of the artistic wooden structure.",baseline,"Modern glass coffee table featuring sleek, natural wood legs with a contemporary X-shaped design. The table's transparent glass top showcases the wood's warm tones and smooth finish. Ideal for modern and minimalist decor.",model,Both descriptions are acceptable
30,"Vintage wooden folding table with metal frame, featuring a light wood finish and varnished surface. Ideal for storage or utility purposes, showcasing classic Danish craftsmanship. Minor wear on floor, otherwise sturdy and functional.",model," Mobile teak table with chrome pedestal base and caster wheels, designed and made by Danecastle ApS in Denmark. Features dual-tiered rectangular surfaces with an adjustable clamp mechanism for positioning and height control, offering functional mid-century modern style.",baseline,baseline
31,"Antique brown hardwood chair with unique cut-out design, showcasing a rich, warm wood stain and natural grain. Crafted from high-quality plywood, featuring elegant, organic shapes. Ideal for vintage or modern décor.",model,Mid-century modern lounge chair featuring sculpted wood frame and rich cognac leather sling seat and backrest. The leather is secured with stitched edge detailing and adjustable buckle straps for added tension and comfort. Distinctive cutouts enhance both function and form.,baseline,baseline
32,"Modern art piece featuring a surreal, abstract painting with swirling yellow and green hues, framed in a yellow border. Accompanied by a red, sculptural object with black and white eyes.",model,"Two ceramic tiles: one with a delicate pastel floral design signed “Rufinelli Assisi,” the other in bold red featuring black-and-white stylized angelfish. Both measure about 12 inches tall and contrast in tone and style.",baseline,baseline
33,Mid-century Drexel dresser with a sleek walnut finish and distinctive paneled doors. Includes multiple compartments with both drawer and shelf storage. Interior drawer stamped with the Drexel Furniture mark. Clean lines and quality craftsmanship reflect a classic modernist design.,baseline,"Mid-century modern wooden bed frame featuring rich, warm hardwood with a polished finish. Includes a sturdy, silver metal edge. Ideal for vintage or contemporary decor. Excellent condition, showcasing classic craftsmanship and timeless style.",model,baseline
34,"Sturdy wooden furniture piece, featuring a rectangular plank design with natural wood grain and varnish finish. Constructed with clean lines and a simple, functional style, perfect for home or office use. Ideal for those seeking classic, timeless woodwork.",model,"Low-profile coffee table featuring a rectangular teak veneer top and squared block legs. Hidden drawer opens from the side, revealing white laminate lining. Clean-lined design complements a modern or minimalist interior with practical concealed storage.",baseline,baseline
35,"Antique Grandfather clock featuring a rich, dark hardwood finish, ornate clock face with white Roman numerals, and intricate floral detailing. Includes a large, hollowed-out center compartment. Ideal for collectors and vintage enthusiasts.",model,"Tall wooden case clock with an arched bonnet and ornate gold-accented face. Features Roman numeral enamel dial marked “Jean le Comtois, Haut-Jura” and intricate hands. Lower section has a glass door revealing the pendulum compartment.",baseline,model
36,"Antique bronze hexagonal clock with brass dial and glass face, featuring black Roman numerals and hands. Sturdy wooden base. Ideal for collectors and vintage decor enthusiasts. Measures approximately 6 inches in height.",model,"Gothic-style antique mantel clock with a dark wood case and arched glass door. Features a worn brass-tone clock face with Roman numerals, decorative floral accents below the dial, and a visible internal brass bell. Classic and aged aesthetic.",baseline,baseline
37,"Red Le Creuset terrine dish with a cream interior and matching lid. Marked “Made in France 32,” it’s crafted from durable enameled cast iron, ideal for pâtés, terrines, and other baked dishes. Classic, functional, and collectible.",baseline,"Vintage red and silver plastic wallet with a central oval-shaped cutout, housed in a white frame. Features ""MADE IN 32 PRANGE LE CREUSET"" label. Excellent condition, retro design.",model,baseline
38,"Antique-style, full-rigged, golden-hulled ship replica with intricate rigging and masts. Crafted with attention to detail, this scale model features realistic sails and a classic maritime design. Ideal for collectors and maritime enthusiasts.",model,"Handcrafted model of the Mayflower marked “1620,” resting on a carved wooden base. Features aged, fabric sails, painted hull details, and rigging reminiscent of historical maritime craftsmanship. Shows wear and patina that enhance its antique character.",baseline,model
39,"Green ceramic pitcher with carved leaf motif and a rounded spout, showing a weathered surface and hand-inscribed number ""352½"" on the base. Paired with an ornate cast metal cross featuring floral scrollwork and distressed bronze finish.",baseline,"Antique green ceramic pitcher with leaf pattern, paired with ornate, silver-toned cross. The pitcher features a handle and intricate leaf design, while the cross showcases detailed floral motifs. Ideal for collectors of vintage and religious artifacts.",model,model
40,"Antique silver butterfly brooch featuring intricately detailed wings with natural texture and patterns. Made from high-quality silver, exuding elegance and craftsmanship. Perfect for collectors or as a statement piece.",model,"Handcrafted metal angel wall hanging with intricate detailing across the wings and robe. Made by Haitian artisan DRUMM, this piece showcases traditional repoussé techniques in a silvery finish. Includes hanging holes for easy display.",baseline,baseline
41,"Mr. Coffee Café Barista espresso machine with an assortment of accessories including three portafilters, tamping scoops, brew baskets, and a bean grinder (model IDS77, 170W). Designed for household use with settings for espresso, cappuccino, and latte brewing.",baseline,"Vintage Mr. Coffee café barista espresso machine with silver and black finish, multiple brewing options, and clear plastic parts. Includes detailed user instructions and UL certification. Ideal for coffee enthusiasts seeking a classic, functional espresso machine.",model,Both descriptions are acceptable
42,"Set of three decorative swords, each marked “Toledo, Made in Spain.” Blades show patina and age, with ornate guards featuring scrollwork and textured grips. Likely intended as collectible wall hangers or display pieces rather than functional weapons.",baseline,"Antique steel swords with ornate nickel handles, featuring intricate scrollwork. Each sword displays a weathered patina, indicative of age and historical use. Perfect for collectors of rare, vintage armory pieces.",model,Both descriptions are acceptable
43,"Ornate handwoven area rug with a raised floral medallion centerpiece, vibrant pastel palette, and rich blue background. Intricate border designs in soft pinks, yellows, and ivory complete the look. Measures approximately 75 inches by 50 inches (6.25 feet by 4.17 feet).",baseline,"Antique blue prayer rug with intricate yellow and orange floral motifs, bordered by detailed patterns. Features a central medallion design. Fringed edges. Excellent condition, perfect for collectors. Size: approximately 1 ft x 2 ft.",model,baseline
44,"Hand-tufted Royal Ashan area rug by Downs Carpet Company in a warm Shahi gold palette. Made of all-virgin wool with a detailed medallion and floral border. Medium pile height and dense backing for durability and comfort. Measures approximately 4'6"" by 6'.",baseline,"Antique-style rug with intricate gold and black floral patterns on a beige background. Features a detailed central motif and ornate borders. Made from pure wool, perfect for adding elegance to any living space. Measures 4'6"" x 6'.",model,Both descriptions are acceptable
45,"Antique ornate rug with intricate floral and vine motifs in green, yellow, and beige on a cream background. Fringed edges, 5x8 feet. Handwoven in India, made from 100% wool. Ideal for vintage decor.",model,"Handwoven wool rug from the Soumak Collection, Mahal 675 design, in a soft ivory field with intricate botanical motifs in muted greens, golds, and rust tones. Finished with fringe edges. Measures approximately 4 feet by 8 feet.",baseline,model
46,"Vintage silver frying pans, featuring a reflective nickel finish and classic All-Clad design. The pans exhibit a slightly tarnished patina, adding a touch of antique charm. Ideal for collectors or kitchen enthusiasts.",model,"Set of three All-Clad stainless steel pans, including two fry pans and a sauté pan with lid. Heavy-duty construction with riveted handles and a polished finish. Interior shows surface wear consistent with frequent use.",baseline,Both descriptions are acceptable
47,"Towel Sterling silver flatware set in the 1973 ""Old Master"" pattern. Includes forks, spoons, and knives with ornate floral detailing. Total weight is approximately 1,399.4 grams. Comes with a two-tier wooden storage chest lined in dark felt.",baseline,"Vintage wooden cigar box with silver-toned metallic blades and handle, featuring a sleek, polished finish. Includes black velvet-lined interior for storage. Ideal for collectors or enthusiasts of vintage smoking accessories.",model,baseline
48,"Pair of rectangular sterling silver military captains bars, weighing approximately 14.3 grams. Accompanied by a twisted gold-toned bracelet marked “Italy,” weighing 4.2 grams. Together they form a sleek vintage accessory set with a refined, understated style.",baseline,"Vintage gray fabric with a vertical silver-toned metal stripe and four square brass buttons. The metal stripe has a textured, twisted pattern, and the buttons are securely attached.",model,baseline
49,"Kenmore Elite electric dryer, model 110.66942501, with timed and auto-sensing dry cycles, temperature control, and signal volume adjustment. Standard white finish with front-load door and push-to-start feature. Requires 3- or 4-wire 240V electrical connection.",baseline,"White Kenmore Elite washing machine with push-to-start button, automatic moisture sensing, and multiple fabric care options. Features include 80, 70, and 60 cycle settings. 120/208V and 120/240V compatible. Used condition.",model,Both descriptions are acceptable
50,"Yellow boxed packaged goods featuring a sturdy aluminum tripod with quick clamp leg release and durable construction. Ideal for laser levels and auto levels. Measures 5/8"" x 11 thread. Stronger and more rigid than comparable tripods. ISO-9001 certified.",model,"CST/Berger Universal Contractor's Aluminum Tripod, model #60-ALQCI20. Lightweight and durable with flat head, quick clamp leg release, and replaceable shoe points. Compatible with most laser and auto levels. Designed in the USA, made in India.",baseline,baseline
51,"Vintage Delta Industrial Machinery Corp. SAWBUCK Frame & Trim Saw, model 33-150, serial 86 69696. Features a silver metal body, electrical cable, and a white circular saw blade. Perfect for woodworking and trimming tasks.",model,"Delta Sawbuck frame and trim saw, model 33-150, powered by a 115V AC motor with a 5/8"" arbor for use with 5500 RPM blades. Designed for precision framing cuts, mounted on a wheeled stand for portability. Made in the USA.",baseline,Both descriptions are acceptable
52,"Troy-Bilt 4-cycle gas-powered cultivator with a 26.2cc engine, compliant with EPA and California emissions regulations. Lightweight and compact with forward-rotating tines and durable wheels for maneuverability. Manufactured in 2008 with a 50-hour emissions compliance period.",baseline,"Red walk-behind lawn mower with black handle and wheels, ideal for small to moderate lawns. Features a 26.2 cc engine and meets U.S. EPA emissions regulations. Excellent condition, perfect for home or small garden use.",model,baseline
53,"Snapper 22-inch self-propelled walk-behind mower powered by a Briggs & Stratton 6.75 horsepower 190cc engine. Model SPV22675HW with rear bagging system, large rear wheels for easier handling, and adjustable handle height for user comfort.",baseline,"Used self-propelled lawn mower with red engine, gray wheels, and black fabric cover. Meets CPSC blade safety requirements. Ideal for efficient outdoor lawn care. Includes identification tag and operating instructions. Ready for immediate use.",model,baseline
54,"Vintage, mint-green, plastic wall-mounted sconce with a rocket-shaped design and yellow accent. Features dual lighting elements and a retro aesthetic. Includes ""EURO MOLD AND KEC INC"" label. Ideal for mid-century modern decor.",model,"Pair of vintage metal mechanical banks designed in the shape of a rocket and a planet with ring. Manufactured by Duro Mold and MFG Inc., Detroit, MI, and used as promotional pieces for Girard Battles National Bank. Distinct patina throughout.",baseline,baseline
55,"Vintage Bob Dylan album featuring iconic cover art with a bold, red ""BALL"" logo and intricate typography. Includes a detailed biographical insert. A must-have for Dylan collectors, showcasing classic design and historical significance. Perfect for display.",model,Framed Bob Dylan collector's set featuring a large men's T-shirt with vintage-style album artwork. Includes a printed insert highlighting Dylan’s career and musical influence. A great display piece for fans of classic folk and rock music.,baseline,baseline
56,"Husqvarna 136LE chainsaw powered by a 36cc 2-cycle engine. Made in the USA, designed to meet 2004 EPA and CARB emission standards with a 50-hour durability rating. Features include ergonomic handles and bar guard for enhanced safety and handling.",baseline,"Husqvarna chainsaw, orange with gray handles, 16"" bar, 3/8"" chain pitch, UL certified, 91VG/56 model, assembled in USA, low emissions, air injection system, ideal for small off-road engines, excellent condition.",model,Both descriptions are acceptable
57,"Vintage Lionel train track set, featuring a variety of curved and straight steel tracks with nickel-plated finish. Includes a metal track support piece. Ideal for model train enthusiasts seeking classic Lionel rolling stock components.",model,"Vintage Lionel Lines O-gauge electric train set featuring engine 2037, caboose 6017, several assorted freight cars, curved and straight track, transformer, and train station. Includes branded cars such as High Valley and distinctive tankers, log cars, and boxcars.",baseline,Both descriptions are acceptable
58,"Open gray plastic tool box containing a green and black handheld power drill, along with an instruction manual and safety warnings. The drill features a 2 1/2"" finish nailer and includes a 70-120psi air pressure setting. Easy to use and maintain.",model,"Hitachi NT65MA2 2-1/2” finish nailer with angled magazine, ergonomic grip, and depth adjustment. Housed in its original molded case with safety glasses and manual included. Designed for 15-gauge nails, ideal for trim and molding work.",baseline,baseline
59,"A set of four used Continental ProContact TX tires, featuring 185/50R16 size and 81H load rating. Tires are in good condition with visible manufacturer labels and instructions. Ideal for sport utility vehicles.",model,"Pair of Continental ProContact TX tires, size 185/50R16 81H, manufactured in 2015. Tires are unused with original labeling still attached. Clean tread and sidewalls suggest they have been stored well and remain in excellent condition.",baseline,Both descriptions are acceptable
60,"Vintage DeLonghi air heater with black and silver design, featuring a powerful 1500W output and adjustable temperature control. Includes a compact, cube-shaped black speaker unit on top. Ideal for cozy home use. Functional and stylish.",model,"Set of two space heaters including a LifeSmart 1500W infrared model with cord wrap and a DeLonghi HM-15 oil-filled radiator heater, both rated for 120V household use. Ideal for supplemental heating in small rooms or garages.",baseline,baseline
